model_type,total_reward_mean,total_reward_std,avg_reward_mean,avg_reward_std,cumulative_return_mean,cumulative_return_std,avg_turnover_mean,avg_turnover_std,total_turnover_mean,total_turnover_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,steps_mean,steps_std
baseline,-0.22646446003091114,0.0,-0.00023298812760381805,0.0,0.178503176854101,0.0,0.8039292188460935,0.0,781.4192007184029,0.0,0.34046246914367984,0.0,-0.22988617513223897,0.0,972.0,0.0
buy_and_hold_equal_weight,0.4878063769260541,0.0,0.0005018584124753643,0.0,0.5572347105154629,0.0,0.0,0.0,0.0,0.0,0.8292677394592661,0.0,-0.19572130122424813,0.0,972.0,0.0
daily_rebalanced_equal_weight,0.4878063769260541,0.0,0.0005018584124753643,0.0,0.5572347105154629,0.0,0.0,0.0,0.0,0.0,0.8292677394592661,0.0,-0.19572130122424813,0.0,972.0,0.0
inverse_vol_risk_parity,0.43778039338241276,0.0,0.00045039135121647405,0.0,0.4908860927743013,0.0,0.028739583412931823,0.0,27.934875077369732,0.0,0.8048579616488388,0.0,-0.1834698351670908,0.0,972.0,0.0
prl,-0.4577974779431315,0.0,-0.00047098505961227523,0.0,0.09193516339770902,0.0,1.1229402918383908,0.0,1091.497963666916,0.0,0.2206174106343417,0.0,-0.2799603229111842,0.0,972.0,0.0
